,0
54.12,10973,0
54.14,10983,0
54.16,10983,0
54.17,10990,0
54.19,10996,0
54.21,11004,0
54.23,11015,0
54.25,11013,0
54.27,11023,0
54.29,11040,0
54.31,11050,0
54.33,11057,0
54.35,11064,0
54.37,11049,0
54.39,11034,0
54.41,11032,0
54.43,11028,0
54.45,11027,0
54.47,11031,0
54.49,11034,0
54.51,11031,0
54.53,11059,0
54.55,11058,0
54.57,11037,0
54.59,11059,0
54.61,11049,0
54.63,11023,0
54.65,11023,0
54.67,11022,0
54.69,11003,0
54.71,11004,0
54.73,11018,0
54.75,11004,0
54.77,11024,0
54.79,11013,0
54.81,11032,0
54.83,11029,0
54.85,11048,0
54.87,11049,0
54.89,11038,0
54.91,11063,0
54.93,11054,0
54.95,11046,0
54.97,11051,0
54.99,11048,0
55.01,11032,0
55.03,11021,0
55.05,11036,0
55.07,11005,0
55.09,11003,0
55.10,11022,0
55.12,11005,0
55.14,11005,0
55.16,10998,0
55.18,10998,0
55.20,11007,0
55.22,10997,0
55.24,10994,0
55.26,11024,0
55.28,11003,0
55.30,11010,0
55.32,11022,0
55.34,11014,0
55.36,11018,0
55.38,11014,0
55.40,11029,0
55.42,11016,0
55.44,11027,0
55.46,11036,0
55.48,11021,0
55.50,11025,0
55.52,11043,0
55.54,11018,0
55.56,11017,0
55.58,11049,0
55.60,11019,0
55.62,11022,0
55.64,11048,0
55.66,11047,0
55.68,11044,0
55.70,11051,0
55.72,11044,0
55.74,11032,0
55.76,11059,0
55.78,11054,0
55.80,11045,0
55.82,11066,0
55.84,11064,0
55.86,11065,0
55.88,11071,0
55.90,11054,0
55.92,11080,0
55.94,11078,0
55.96,11060,0
55.98,11082,0
56.00,11086,0
56.02,11069,0
56.04,11064,0
56.05,11074,0
56.07,11064,0
56.09,11060,0
56.11,11062,0
56.13,11064,0
56.15,11067,0
56.17,11063,0
56.19,11063,0
56.21,11080,0
56.23,11062,0
56.25,11057,0
56.27,11060,0
56.29,11059,0
56.31,11056,0
56.33,11053,0
56.35,11059,0
56.37,11082,0
56.39,11066,0
56.41,11072,0
56.43,11081,0
56.45,11096,0
56.47,11111,0
56.49,11104,0
56.51,11131,0
56.53,11108,0
56.55,11127,0
56.57,11110,0
56.59,11078,0
56.61,11056,0
56.63,11042,0
56.65,11040,0
56.67,11035,0
56.69,11037,0
56.71,11029,0
56.73,11028,0
56.75,11027,0
56.77,11052,0
56.79,11058,0
56.81,11057,0
56.83,11085,0
56.85,11071,0
56.87,11094,0
56.89,11088,0
56.91,11080,0
56.93,11084,0
56.95,11081,0
56.97,11101,0
56.98,11077,0
57.00,11070,0
57.02,11071,0
57.04,11073,0
57.06,11090,0
57.08,11074,0
57.10,11074,0
57.12,11074,0
57.14,11072,0
57.16,11071,0
57.18,11069,0
57.20,11068,0
57.22,11070,0
57.24,11060,0
57.26,11061,0
57.28,11085,0
57.30,11064,0
57.32,11065,0
57.34,11071,0
57.36,11076,0
57.38,11065,0
57.40,11079,0
57.42,11094,0
57.44,11069,0
57.46,11086,0
57.48,11090,0
57.50,11090,0
57.52,11087,0
57.54,11064,0
57.56,11083,0
57.58,11082,0
57.60,11056,0
57.62,11066,0
57.64,11068,0
57.66,11074,0
57.68,11059,0
57.70,11053,0
57.72,11062,0
57.74,11077,0
57.76,11075,0
57.78,11076,0
57.80,11073,0
57.82,11100,0
57.84,11085,0
57.86,11068,0
57.88,11073,0
57.90,11071,0
57.92,11066,0
57.93,11061,0
57.95,11056,0
57.97,11048,0
57.99,11044,0
58.01,11043,0
58.03,11034,0
58.05,11035,0
58.07,11025,0
58.09,11036,0
58.11,11039,0
58.13,11030,0
58.15,11054,0
58.17,11057,0
58.19,11060,0
58.21,11074,0
58.23,11050,0
58.25,11082,0
58.27,11078,0
58.29,11069,0
58.31,11063,0
58.33,11056,0
58.35,11056,0
58.37,11056,0
58.39,11083,0
58.41,11062,0
58.43,11063,0
58.45,11059,0
58.47,11088,0
58.49,11087,0
58.51,11096,0
58.53,11078,0
58.55,11070,0
58.57,11067,0
58.59,11068,0
58.61,11087,0
58.63,11067,0
58.65,11068,0
58.67,11070,0
58.69,11077,0
58.71,11108,0
58.73,11092,0
58.75,11103,0
58.77,11095,0
58.79,11127,0
58.81,11127,0
58.83,11114,0
58.85,11140,0
58.86,11120,0
58.88,11143,0
58.90,11150,0
58.92,11120,0
58.94,11127,0
58.96,11136,0
58.98,11140,0
59.00,11123,0
59.02,11125,0
59.04,11133,0
59.06,11140,0
59.08,11149,0
59.10,11165,0
59.12,11178,0
59.14,11214,0
59.16,11197,0
59.18,11205,0
59.20,11206,0
59.22,11210,0
59.24,11205,0
59.26,11194,0
59.28,11202,0
59.30,11211,0
59.32,11187,0
59.34,11179,0
59.36,11183,0
59.38,11181,0
59.40,11179,0
59.42,11183,0
59.44,11194,0
59.46,11216,0
59.48,11200,0
59.50,11204,0
59.52,11209,0
59.54,11211,0
59.56,11215,0
59.58,11219,0
59.60,11216,0
59.62,11238,0
59.64,11212,0
59.66,11204,0
59.68,11193,0
59.70,11193,0
59.72,11208,0
59.74,11184,0
59.76,11193,0
59.78,11175,0
59.79,11193,0
59.81,11191,0
59.83,11200,0
59.85,11179,0
59.87,11167,0
59.89,11161,0
59.91,11160,0
59.93,11178,0
59.95,11156,0
59.97,11155,0
59.99,11144,0
60.01,11162,0
60.03,11158,0
60.05,11160,0
60.07,11156,0
60.09,11132,0
60.11,11144,0
60.13,11148,0
60.15,11150,0
60.17,11128,0
60.19,11120,0
60.21,11120,0
60.23,11124,0
60.25,11139,0
60.27,11122,0
60.29,11122,0
60.31,11122,0
60.33,11117,0
60.35,11117,0
60.37,11117,0
60.39,11117,0
60.41,11136,0
60.43,11130,0
60.45,11120,0
60.47,11112,0
60.49,11133,0
60.51,11142,0
60.53,11147,0
60.55,11140,0
60.57,11125,0
60.59,11120,0
60.61,11122,0
60.63,11140,0
60.65,11118,0
60.67,11112,0
60.69,11116,0
60.71,11108,0
60.72,11101,0
60.74,11098,0
60.76,11098,0
60.78,11112,0
60.80,11093,0
60.82,11088,0
60.84,11084,0
60.86,11086,0
60.88,11098,0
60.90,11084,0
60.92,11085,0
60.94,11108,0
60.96,11086,0
60.98,11088,0
61.00,11092,0
61.02,11092,0
61.04,11094,0
61.06,11095,0
61.08,11091,0
61.10,11116,0
61.12,11089,0
61.14,11094,0
61.16,11098,0
61.18,11099,0
61.20,11095,0
61.22,11083,0
61.24,11089,0
61.26,11088,0
61.28,11092,0
61.30,11088,0
61.32,11090,0
61.34,11088,0
61.36,11090,0
61.38,11097,0
61.40,11110,0
61.42,11096,0
61.44,11104,0
61.46,11118,0
61.48,11100,0
61.50,11110,0
61.52,11090,0
61.54,11109,0
61.56,11104,0
61.58,11082,0
61.60,11097,0
61.62,11108,0
61.64,11088,0
61.66,11105,0
61.67,11109,0
61.69,11112,0
61.71,11110,0
61.73,11086,0
61.75,11114,0
61.77,11101,0
61.79,11090,0
61.81,11102,0
61.83,11098,0
61.85,11082,0
61.87,11081,0
61.89,11096,0
61.91,11080,0
61.93,11080,0
61.95,11100,0
61.97,11075,0
61.99,11076,0
62.01,11075,0
62.03,11083,0
62.05,11094,0
62.07,11085,0
62.09,11085,0
62.11,11086,0
62.13,11092,0
62.15,11091,0
62.17,11080,0
62.19,11088,0
62.21,11095,0
62.23,11086,0
62.25,11087,0
62.27,11070,0
62.29,11091,0
62.31,11084,0
62.33,11071,0
62.35,11091,0
62.37,11072,0
62.39,11082,0
62.41,11087,0
62.43,11061,0
62.45,11078,0
62.47,11080,0
62.49,11074,0
62.51,11074,0
62.53,11066,0
62.55,11089,0
62.57,11090,0
62.59,11072,0
62.60,11097,0
62.62,11082,0
62.64,11081,0
62.66,11096,0
62.68,11092,0
62.70,11094,0
62.72,11091,0
62.74,11113,0
62.76,11088,0
62.78,11086,0
62.80,11114,0
62.82,11100,0
62.84,11088,0
62.86,11116,0
62.88,11101,0
62.90,11088,0
62.92,11090,0
62.94,11107,0
62.96,11086,0
62.98,11103,0
63.00,11106,0
63.02,11093,0
63.04,11102,0
63.06,11077,0
63.08,11110,0
63.10,11105,0
63.12,11086,0
63.14,11108,0
63.16,11110,0
63.18,11089,0
63.20,11098,0
63.22,11073,0
63.24,11084,0
63.26,11064,0
63.28,11053,0
63.30,11072,0
63.32,11059,0
63.34,11052,0
63.36,11057,0
63.38,11076,0
63.40,11068,0
63.42,11071,0
63.44,11080,0
63.46,11078,0
63.48,11083,0
63.50,11083,0
63.52,11093,0
63.53,11085,0
63.55,11098,0
63.57,11096,0
63.59,11072,0
63.61,11093,0
63.63,11079,0
63.65,11066,0
63.67,11069,0
63.69,11074,0
63.71,11054,0
63.73,11052,0
63.75,11073,0
63.77,11047,0
63.79,11050,0
63.81,11049,0
63.83,11054,0
63.85,11055,0
63.87,11055,0
63.89,11053,0
63.91,11075,0
63.93,11072,0
63.95,11066,0
